2023-12-04 14:12:58,926 p=14870 u=esi n=ansible | PLAY [wordpress deployment] *************************************************************************************************************************************************
2023-12-04 14:12:58,937 p=14870 u=esi n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2023-12-04 14:13:05,120 p=14870 u=esi n=ansible | ok: [host-2]
2023-12-04 14:13:05,142 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Install aptitude] *****************************************************************************************************************************
2023-12-04 14:13:09,924 p=14870 u=esi n=ansible | ok: [host-2]
2023-12-04 14:13:09,931 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Install required system packages] *************************************************************************************************************
2023-12-04 14:13:33,232 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:13:33,239 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Add Docker GPG apt Key] ***********************************************************************************************************************
2023-12-04 14:13:36,668 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:13:36,676 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Add Docker Repository] ************************************************************************************************************************
2023-12-04 14:13:45,453 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:13:45,462 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Install docker] *******************************************************************************************************************************
2023-12-04 14:14:09,519 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:14:09,527 p=14870 u=esi n=ansible | TASK [role-0-initial-server : Install Docker Module for Python] *************************************************************************************************************
2023-12-04 14:14:14,442 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:14:14,483 p=14870 u=esi n=ansible | TASK [role-1-setup-mariadb : Copy docker-compose File] **********************************************************************************************************************
2023-12-04 14:14:45,569 p=14870 u=esi n=ansible | changed: [host-2]
2023-12-04 14:14:45,578 p=14870 u=esi n=ansible | TASK [role-1-setup-mariadb : Set Permission for Docker Daemon] **************************************************************************************************************
2023-12-04 14:14:47,651 p=14870 u=esi n=ansible | changed: [host-2]
